dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.77,633.52,29.55
TwoLeadECG,ued,simple_cmp,0.9122036874451273,631.2,944.16
ECGFiveDays,ued,simple_cmp,0.9094076655052264,657.44,1501.34
ItalyPowerDemand,ued,simple_cmp,0.9290573372206026,633.05,357.47
SonyAIBORobotSurface2,ued,simple_cmp,0.8247639034627492,634.68,805.34
SonyAIBORobotSurface1,ued,simple_cmp,0.9434276206322796,626.83,505.1
Plane,ued,simple_cmp,0.9333333333333333,647.87,45.25
Trace,ued,simple_cmp,0.9,617.23,51.78
SmoothSubspace,ued,simple_cmp,0.78,627.48,25.95
BME,ued,simple_cmp,0.8266666666666667,642.41,235.53
CBF,ued,simple_cmp,0.9311111111111111,658.94,1167.35
UMD,ued,simple_cmp,0.9513888888888888,662.19,172.69
SyntheticControl,ued,simple_cmp,0.8333333333333334,620.26,24.9
ShapeletSim,ued,simple_cmp,0.9444444444444444,649.43,372.84
Chinatown,ued,simple_cmp,0.967930029154519,604.01,54.29
ECG200,ued,cdf_cmp,0.77,622.42,24.61
TwoLeadECG,ued,cdf_cmp,0.7471466198419666,654.24,1793.0
ECGFiveDays,ued,cdf_cmp,0.9070847851335656,655.7,1532.09
ItalyPowerDemand,ued,cdf_cmp,0.9358600583090378,610.26,152.74
SonyAIBORobotSurface2,ued,cdf_cmp,0.8132214060860441,650.6,1265.97
SonyAIBORobotSurface1,ued,cdf_cmp,0.9500831946755408,628.37,653.37
Plane,ued,cdf_cmp,0.9809523809523809,648.41,52.0
Trace,ued,cdf_cmp,0.99,647.64,49.93
SmoothSubspace,ued,cdf_cmp,0.7666666666666667,599.89,7.19
BME,ued,cdf_cmp,0.7466666666666667,648.02,241.12
CBF,ued,cdf_cmp,0.9222222222222223,652.61,1067.87
UMD,ued,cdf_cmp,0.9027777777777778,633.5,122.45
SyntheticControl,ued,cdf_cmp,0.57,617.46,24.24
ShapeletSim,ued,cdf_cmp,0.9388888888888889,649.06,401.14
Chinatown,ued,cdf_cmp,0.9795918367346939,607.54,91.18
ECG200,ued,interval_cmp,0.77,640.38,28.09
TwoLeadECG,ued,interval_cmp,0.9122036874451273,631.38,1000.42
ECGFiveDays,ued,interval_cmp,0.9210220673635308,660.35,1408.39
ItalyPowerDemand,ued,interval_cmp,0.9280855199222546,628.9,382.17
SonyAIBORobotSurface2,ued,interval_cmp,0.825813221406086,638.03,811.16
SonyAIBORobotSurface1,ued,interval_cmp,0.9434276206322796,630.33,525.13
Plane,ued,interval_cmp,0.9333333333333333,641.62,46.43
Trace,ued,interval_cmp,0.9,631.06,36.64
SmoothSubspace,ued,interval_cmp,0.78,628.49,32.74
BME,ued,interval_cmp,0.84,655.53,268.29
CBF,ued,interval_cmp,0.9188888888888889,660.62,1103.26
UMD,ued,interval_cmp,0.9513888888888888,637.92,169.86
SyntheticControl,ued,interval_cmp,0.8266666666666667,622.49,28.3
ShapeletSim,ued,interval_cmp,0.9444444444444444,663.76,422.0
Chinatown,ued,interval_cmp,0.967930029154519,604.71,49.6
ECG200,dust_uniform,simple_cmp,0.82,632.72,28.43
TwoLeadECG,dust_uniform,simple_cmp,0.8542581211589113,632.95,945.5
ECGFiveDays,dust_uniform,simple_cmp,0.8095238095238095,663.04,1444.42
ItalyPowerDemand,dust_uniform,simple_cmp,0.9310009718172984,633.01,427.33
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7691500524658972,637.63,934.05
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.7154742096505824,623.39,437.76
Plane,dust_uniform,simple_cmp,0.9428571428571428,637.64,41.31
Trace,dust_uniform,simple_cmp,0.72,643.54,40.2
SmoothSubspace,dust_uniform,simple_cmp,0.7933333333333333,620.67,23.83
BME,dust_uniform,simple_cmp,0.7266666666666667,646.57,187.38
CBF,dust_uniform,simple_cmp,0.9311111111111111,668.0,931.75
UMD,dust_uniform,simple_cmp,0.6180555555555556,652.26,192.11
SyntheticControl,dust_uniform,simple_cmp,0.64,613.2,14.16
ShapeletSim,dust_uniform,simple_cmp,0.6333333333333333,667.34,616.3
Chinatown,dust_uniform,simple_cmp,0.8979591836734694,609.07,93.25
ECG200,dust_normal,simple_cmp,0.78,631.28,30.32
TwoLeadECG,dust_normal,simple_cmp,0.8788410886742757,636.4,1022.07
ECGFiveDays,dust_normal,simple_cmp,0.8234610917537747,652.22,1224.49
ItalyPowerDemand,dust_normal,simple_cmp,0.93488824101069,630.75,386.55
SonyAIBORobotSurface2,dust_normal,simple_cmp,0.7481636935991606,643.78,827.24
SonyAIBORobotSurface1,dust_normal,simple_cmp,0.7004991680532446,618.14,443.49
Plane,dust_normal,simple_cmp,0.7238095238095238,617.45,22.52
Trace,dust_normal,simple_cmp,0.73,648.6,38.17
SmoothSubspace,dust_normal,simple_cmp,0.7666666666666667,626.39,25.45
BME,dust_normal,simple_cmp,0.8133333333333334,645.01,211.62
CBF,dust_normal,simple_cmp,0.92,656.59,828.79
UMD,dust_normal,simple_cmp,0.6319444444444444,643.15,155.95
SyntheticControl,dust_normal,simple_cmp,0.6466666666666666,617.64,16.13
ShapeletSim,dust_normal,simple_cmp,0.6388888888888888,665.45,438.87
Chinatown,dust_normal,simple_cmp,0.9183673469387755,608.14,91.35
ECG200,ed,simple_cmp,0.77,637.95,29.78
TwoLeadECG,ed,simple_cmp,0.9271290605794557,635.06,976.7
ECGFiveDays,ed,simple_cmp,0.9186991869918699,644.7,1120.16
ItalyPowerDemand,ed,simple_cmp,0.9222546161321672,633.77,344.02
SonyAIBORobotSurface2,ed,simple_cmp,0.8300104931794333,626.68,588.0
SonyAIBORobotSurface1,ed,simple_cmp,0.9500831946755408,628.18,451.41
Plane,ed,simple_cmp,0.9714285714285714,638.47,39.91
Trace,ed,simple_cmp,0.9,632.19,36.79
SmoothSubspace,ed,simple_cmp,0.7933333333333333,625.04,25.69
BME,ed,simple_cmp,0.8533333333333334,649.51,254.19
CBF,ed,simple_cmp,0.9211111111111111,646.55,913.97
UMD,ed,simple_cmp,0.9722222222222222,643.7,177.91
SyntheticControl,ed,simple_cmp,0.9066666666666666,625.0,24.69
ShapeletSim,ed,simple_cmp,0.9444444444444444,645.71,358.58
Chinatown,ed,simple_cmp,0.967930029154519,603.74,43.11
